AGNO;RBD;DGV_RBD;NOM_RBD;MRUN;RUT_SOSTENEDOR;P_JURIDICA;COD_REG_RBD;NOM_REG_RBD_A;COD_PRO_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPROV_RBD;NOM_DEPROV_RBD;COD_DEPE;COD_DEPE2;RURAL_RBD;LATITUD;LONGITUD;CONVENIO_PIE;PACE;ENS_01;ENS_02;ENS_03;ENS_04;ENS_05;ENS_06;ENS_07;ENS_08;ENS_09;ENS_10;ENS_11;MAT_TOTAL;MATRICULA;ESTADO_ESTAB;ORI_RELIGIOSA;ORI_OTRO_GLOSA;PAGO_MATRICULA;PAGO_MENSUAL
2022;20363;7;ESCUELA ESPECIAL DE LENGUAJE PEQUEÑOS ARTISTAS; ;65152508;1;5;VALPO;55;5501;QUILLOTA;51;QUILLOTA;3;2;0;-32,870310000000000;-71,24484000000000;0;0;214;0;0;0;0;0;0;0;0;0;0;88;1;1;9; ;SIN INFORMACION;SIN INFORMACION
2022;20364;5;COLEGIO AYELEN; ;65074546;1;6;LGBO;61;6101;RANCAGUA;61;CACHAPOAL;3;2;0;-34,165081000000000;-70,77536800000000;0;0;10;110;310;0;0;0;0;0;0;0;0;1233;1;1;9; ;SIN INFORMACION;SIN INFORMACION
2022;20365;3;ESCUELA ESPECIAL DE LENGUAJE MI MUNDO IDEAL; ;65126237;1;10;LAGOS;101;10101;PUERTO MONTT;101;LLANQUIHUE;3;2;0;-41,460300000000000;-72,94325000000001;0;0;214;0;0;0;0;0;0;0;0;0;0;53;1;1;9; ;SIN INFORMACION;SIN INFORMACION
2022;20366;1;ESCUELA ESPECIAL DE LENGUAJE AYEKANTUN; ;65150244;1;5;VALPO;55;5501;QUILLOTA;51;QUILLOTA;3;2;0;-32,937530000000000;-71,27563000000001;0;0;214;0;0;0;0;0;0;0;0;0;0;48;1;1;9; ;SIN INFORMACION;SIN INFORMACION
2022;20368;8;ESCUELA ESPECIAL DE LENGUAJE EL DUENDE DAPAFE; ;65155362;1;5;VALPO;58;5801;QUILPUÉ;53;VALPARAÍSO;3;2;0;-33,038780000000000;-71,40766000000001;0;0;214;0;0;0;0;0;0;0;0;0;0;168;1;1;9; ;SIN INFORMACION;SIN INFORMACION
2022;20369;6;CENTRO DE EDUCACION DE ADULTOS LA SERENA; ;76111641;1;4;COQ;41;4101;LA SERENA;41;ELQUI;4;3;0;-29,907760740000000;-71,24631355000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;9; ;SIN INFORMACION;SIN INFORMACION
2022;20371;8;ESCUELA ESPECIAL DE LENGUAJE ENE-TENE-TÚ; ;65145627;1;5;VALPO;58;5801;QUILPUÉ;53;VALPARAÍSO;3;2;0;-33,048969999999990;-71,43254000000000;0;0;214;0;0;0;0;0;0;0;0;0;0;68;1;1;9; ;SIN INFORMACION;SIN INFORMACION
2022;20372;6;ESCUELA ESPECIAL DE LENGUAJE EL SAUCE; ;65145404;1;4;COQ;41;4102;COQUIMBO;41;ELQUI;3;2;1;-29,997270000000000;-71,33699000000000;0;0;214;0;0;0;0;0;0;0;0;0;0;174;1;1;9; ;SIN INFORMACION;SIN INFORMACION
2022;20373;4;ESCUELA ESPECIAL DE LENGUAJE RAIMAU; ;65143567;1;5;VALPO;57;5701;SAN FELIPE;52;LOS ANDES;3;2;0;-32,758840000000000;-70,71803000000000;0;0;214;0;0;0;0;0;0;0;0;0;0;51;1;1;9; ;SIN INFORMACION;SIN INFORMACION
2022;20374;2;ESCUELA ESPECIAL DE LENGUAJE LAWAL; ;65153435;1;10;LAGOS;101;10101;PUERTO MONTT;101;LLANQUIHUE;3;2;0;-41,403800000000000;-72,91405000000000;0;0;214;0;0;0;0;0;0;0;0;0;0;15;1;1;9; ;SIN INFORMACION;SIN INFORMACION
