AGNO;RBD;DGV_RBD;NOM_RBD;COD_DEPE;COD_DEPE2;RURAL_RBD;COD_REG_RBD;NOM_REG_RBD_A;COD_PRO_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPROV_RBD;NOM_DEPROV_RBD;ESTADO_ESTAB;MAT_SI_1;MAT_HOM_1;MAT_MUJ_1;MAT_ENS_1;MAT_SI_2;MAT_HOM_2;MAT_MUJ_2;MAT_ENS_2;MAT_HOM_3;MAT_MUJ_3;MAT_ENS_3;MAT_SI_4;MAT_HOM_4;MAT_MUJ_4;MAT_ENS_4;MAT_SI_5;MAT_HOM_5;MAT_MUJ_5;MAT_ENS_5;MAT_HOM_6;MAT_MUJ_6;MAT_ENS_6;MAT_HOM_7;MAT_MUJ_7;MAT_ENS_7;MAT_HOM_8;MAT_MUJ_8;MAT_ENS_8;MAT_HOM_TOT;MAT_MUJ_TOT;MAT_SI_TOT;MAT_TOTAL;CUR_SIM_01;CUR_SIM_02;CUR_SIM_03;CUR_SIM_04;CUR_SIM_05;CUR_SIM_06;CUR_SIM_07;CUR_SIM_08;CUR_SIM_TOT;CUR_COMB_01;CUR_COMB_02;CUR_COMB_TOT
2021;1838;4;COLEGIO SITAEL;4;3;0;5;VALPO;51;5109;VIÑA DEL MAR;53;VALPARAÍSO;3;0;0;0;0;0;0;0;0;0;0;0; ;0;0;0; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021;1839;2;COLEGIO ALEMAN DE VALPARAISO;4;3;0;5;VALPO;51;5109;VIÑA DEL MAR;53;VALPARAÍSO;1;0;136;125;261;0;391;386;777;0;0;0;0;0;0;0;0;156;193;349;0;0;0;0;0;0;0;0;0;683;704;0;1387;13;32;0;0;15;0;0;0;60;0;0;0
2021;1840;6;LICEO MAX PLANCK;4;3;0;5;VALPO;51;5109;VIÑA DEL MAR;53;VALPARAÍSO;1;0;0;0;0;0;0;0;0;0;0;0; ;0;0;0; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021;1842;2;COLEGIO SAN ANDRES;3;2;0;5;VALPO;51;5109;VIÑA DEL MAR;53;VALPARAÍSO;1;0;43;36;79;0;233;218;451;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;276;254;0;530;4;16;0;0;0;0;0;0;20;0;0;0
2021;1844;9;COLEGIO FRANCO INGLES;4;3;0;5;VALPO;51;5109;VIÑA DEL MAR;53;VALPARAÍSO;1;0;3;1;4;0;59;55;114;0;0;0;0;0;0;0;0;30;19;49;0;0;0;0;0;0;0;0;0;92;75;0;167;1;8;0;0;4;0;0;0;13;0;0;0
2021;1846;5;NUCLEO EDUCACIONAL SER;4;3;0;5;VALPO;51;5103;CONCÓN;53;VALPARAÍSO;4;0;0;0;0;0;0;0;0;0;0;0; ;0;0;0; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021;1847;3;COLEGIO SAINT MICHAEL;3;2;0;5;VALPO;51;5109;VIÑA DEL MAR;53;VALPARAÍSO;1;0;0;0;0;0;72;67;139;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;72;67;0;139;0;8;0;0;0;0;0;0;8;0;0;0
2021;1848;1;BLUE BIRD COLLEGE;4;3;0;5;VALPO;51;5109;VIÑA DEL MAR;53;VALPARAÍSO;3;0;0;0;0;0;0;0;0;0;0;0; ;0;0;0; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021;1850;3;ASIVA;4;3;0;5;VALPO;51;5109;VIÑA DEL MAR;53;VALPARAÍSO;3;0;0;0;0;0;0;0;0;0;0;0; ;0;0;0; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021;1851;1;LICEO POLITECNICO QUINTERO;2;1;0;5;VALPO;51;5107;QUINTERO;53;VALPARAÍSO;1;0;0;0;0;0;47;39;86;10;10;20;0;0;0;0;0;18;27;45;55;88;143;111;79;190;0;0;0;241;243;0;484;0;4;1;0;2;4;9;0;20;0;0;0
