AGNO;RBD;DGV_RBD;NOM_RBD;COD_REG_RBD;NOM_REG_RBD_A;COD_PRO_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPROV_RBD;NOM_DEPROV_RBD;COD_DEPE;COD_DEPE2;RURAL_RBD;ESTADO_ESTAB;DC_A;HH_A;DC_UTP;HH_UTP;DC_PDIR;HH_PDIR;DC_DIR;HH_DIR;DC_OES;HH_OES;DC_OF;HH_OF;DC_JUTP;HH_JUTP;DC_IG;HH_IG;DC_OR;HH_OR;DC_DIR_SOST;HH_DIR_SOST;DC_TP_SOST;HH_TP_SOST;DC_SUP_SOST;HH_SUP_SOST;DC_SUBDIR;HH_SUBDIR;DC_PROF_ENC;HH_PROF_ENC;DC_EDUC_TRAD;HH_EDUC_TRAD;DC_TOT;HH_TOT
2021;3900;4;ESCUELA JOSÉ HUMBERTO BARRERA BARRERA;16;NUBLE;161;16108;SAN IGNACIO;81;ÑUBLE;2;1;1;1;5;59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;44;0;0;6;103
2021;3901;2;ESCUELA LA ERMITA DE DIGUILLIN;16;NUBLE;161;16108;SAN IGNACIO;81;ÑUBLE;2;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021;3902;0;ESCUELA ZAPALLAR;16;NUBLE;161;16108;SAN IGNACIO;81;ÑUBLE;2;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021;3903;9;ESCUELA MAYULERMO;16;NUBLE;161;16108;SAN IGNACIO;81;ÑUBLE;2;1;1;1;12;461;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;44;0;0;13;505
2021;3904;7;ESCUELA LOURDES;16;NUBLE;161;16108;SAN IGNACIO;81;ÑUBLE;2;1;1;1;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;44;0;0;2;50
2021;3905;5;ESCUELA LARQUI CHICO;16;NUBLE;161;16108;SAN IGNACIO;81;ÑUBLE;2;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021;3906;3;ESCUELA SELVA NEGRA;16;NUBLE;161;16108;SAN IGNACIO;81;ÑUBLE;2;1;1;1;10;348;0;0;0;0;1;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;392
2021;3907;1;LICEO POLITÉCNICO MARÍA WARD;16;NUBLE;161;16108;SAN IGNACIO;81;ÑUBLE;3;2;0;1;47;1882;0;0;1;44;1;44;2;74;0;0;1;44;0;0;0;0;0;0;4;168;0;0;0;0;0;0;0;0;56;2256
2021;3909;8;LICEO POLIVALENTE JUVENAL HERNÁNDEZ JAQUE;16;NUBLE;161;16104;EL CARMEN;81;ÑUBLE;2;1;0;1;60;2272;1;44;1;44;1;44;2;79;0;0;1;44;0;0;1;44;0;0;1;40;0;0;0;0;0;0;0;0;68;2611
2021;3910;1;ESCUELA VIRGEN DEL CARMEN;16;NUBLE;161;16104;EL CARMEN;81;ÑUBLE;2;1;0;1;60;2392;3;125;0;0;1;44;3;126;0;0;1;44;1;44;1;44;0;0;0;0;0;0;0;0;0;0;0;0;70;2819
2021;3912;8;ESCUELA DEL CARMEN SAN MARTÍN OTÁROLA;16;NUBLE;161;16104;EL CARMEN;81;ÑUBLE;2;1;1;1;12;430;0;0;0;0;1;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;474
2021;3913;6;ESCUELA NAVIDAD-TREHUALEMU;16;NUBLE;161;16104;EL CARMEN;81;ÑUBLE;2;1;1;1;23;854;0;0;0;0;1;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;898
2021;3914;4;ESCUELA BERNARDINO MUNOZ GONZALEZ;16;NUBLE;161;16104;EL CARMEN;81;ÑUBLE;2;1;1;1;9;242;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;44;0;0;10;286
2021;3915;2;ESCUELA EL BOSQUE;16;NUBLE;161;16104;EL CARMEN;81;ÑUBLE;2;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021;3916;0;ESCUELA CAPILLA NORTE;16;NUBLE;161;16104;EL CARMEN;81;ÑUBLE;2;1;1;1;8;281;0;0;0;0;1;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;325
2021;3917;9;ESCUELA VALLE DE ATACALCO;16;NUBLE;161;16104;EL CARMEN;81;ÑUBLE;2;1;1;1;2;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;44;0;0;3;64
2021;3918;7;ESCUELA LUIS TEODORO ORTEGA OYARCE;16;NUBLE;161;16104;EL CARMEN;81;ÑUBLE;2;1;1;1;7;233;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;44;0;0;8;277
2021;3919;5;ESCUELA TREHUALEMU ORIENTE;16;NUBLE;161;16104;EL CARMEN;81;ÑUBLE;2;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021;3920;9;ESCUELA SAN RICAEL;16;NUBLE;161;16104;EL CARMEN;81;ÑUBLE;2;1;1;1;2;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;44;0;0;3;59
2021;3921;7;ESCUELA LAS HORMIGAS;16;NUBLE;161;16104;EL CARMEN;81;ÑUBLE;2;1;1;1;2;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;44;0;0;3;55
2021;3922;5;ESCUELA MATA REDONDA;16;NUBLE;161;16104;EL CARMEN;81;ÑUBLE;2;1;1;1;13;306;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;44;0;0;14;350
2021;3923;3;ESCUELA CASTANAL;16;NUBLE;161;16104;EL CARMEN;81;ÑUBLE;2;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021;3924;1;ESCUELA VERGARA;16;NUBLE;161;16104;EL CARMEN;81;ÑUBLE;2;1;1;1;2;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;44;0;0;3;53
2021;3926;8;ESCUELA SAN JOSE SUR;16;NUBLE;161;16104;EL CARMEN;81;ÑUBLE;2;1;1;1;2;14;0;0;0;0;1;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;58
2021;3927;6;ESCUELA CHAMIZAL;16;NUBLE;161;16104;EL CARMEN;81;ÑUBLE;2;1;1;1;2;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;44;0;0;3;58
2021;3928;4;ESCUELA RINCONADA DEL DIGUILLIN;16;NUBLE;161;16104;EL CARMEN;81;ÑUBLE;2;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021;3929;2;ESCUELA LOS ALPES;16;NUBLE;161;16104;EL CARMEN;81;ÑUBLE;2;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021;3930;6;ESCUELA HUEMUL;16;NUBLE;161;16104;EL CARMEN;81;ÑUBLE;2;1;1;1;2;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;40;0;0;3;50
