AGNO;RBD;DGV_RBD;NOM_RBD;COD_REG_RBD;NOM_REG_RBD_A;COD_PRO_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPROV_RBD;NOM_DEPROV_RBD;COD_DEPE;COD_DEPE2;RURAL_RBD;ESTADO_ESTAB;N_ASIS;N_HOMBRES;N_MUJERES;N_PROF;N_PARA;N_AUX;N_ADMIN;N_TEC;N_SIN_DATO;JORN_PROF;JORN_PARA;JORN_AUX;JORN_ADMIN;JORN_TEC;JORN_SIN_DATO;TOT_JORN
2021;17921;3;C.E.I.A. DOLORES SOPENA;8;BBIO;81;8106;LOTA;83;CONCEPCIÓN;3;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021;17922;1;COLEGIO THE PACIFIC SCHOOL;8;BBIO;81;8103;CHIGUAYANTE;83;CONCEPCIÓN;3;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021;17924;8;ESCUELA NACIMIENTO DE NUESTRO SEÑOR;8;BBIO;83;8306;NACIMIENTO;82;BIOBÍO;2;1;0;1;29;7;22;7;13;9;0;0;0;186;478;336;0;0;0;1000
2021;17925;6;ESCUELA ESPECIAL DE LENGUAJE Y JARDÍN INFANTIL TUTUMPI;8;BBIO;81;8102;CORONEL;83;CONCEPCIÓN;3;2;0;1;12;1;11;4;1;1;1;5;0;144;44;44;44;220;0;496
2021;17926;4;COLEGIO 20 DE AGOSTO;16;NUBLE;161;16103;CHILLÁN VIEJO;81;ÑUBLE;3;2;0;1;13;3;10;3;5;2;2;1;0;88;184;69;60;44;0;445
2021;17927;2;JARDIN INFANTIL CASCANUECES;16;NUBLE;161;16101;CHILLÁN;81;ÑUBLE;4;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021;17928;0;JARDIN INFANTIL MI MUNDO;16;NUBLE;161;16101;CHILLÁN;81;ÑUBLE;3;2;0;1;2;0;2;0;0;0;0;2;0;0;0;0;0;58;0;58
2021;17930;2;ESCUELA EL LLANO;16;NUBLE;162;16201;QUIRIHUE;81;ÑUBLE;2;1;0;1;30;7;23;11;13;5;1;0;0;212;450;220;44;0;0;926
2021;17931;0;LICEO ESPÍRITU SANTO;8;BBIO;81;8110;TALCAHUANO;83;CONCEPCIÓN;3;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021;18001;7;CENTRO DE ESTIMULACION TEMPRANA EGO SUM;8;BBIO;81;8101;CONCEPCIÓN;83;CONCEPCIÓN;3;2;0;1;6;0;6;3;1;1;1;0;0;62;44;45;30;0;0;181
