RBD;DV_RBD;NOM_RBD;RBD_A1;RBD_A2;COD_DEPE;COD_DEPE2;COD_REG_RBD;COD_PRO_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPROV_RBD;NOM_DEPROV_RBD;RURAL_RBD;EFECTIVR;SUPERAR;INICIAR;MEJORAR;INTEGRAR;IGUALDR;CLUSTER;INDICER;SEL2020_25;SEL2020_35;SEL
14386;3;ESCUELA DE PARVULOS TIRITAS DE PAPEL II; ; ;3;2;5;56;5601;SAN ANTONIO;54;SAN ANTONIO;0;38,8062;54,639341;95,136364;100;73,6;96,489856;512;62,27326;2;1;2
14387;1;COLEGIO SAN NICOLAS EL OLIVAR; ; ;3;2;5;51;5109;VIÑA DEL MAR;53;VALPARAÍSO;0;39,858507;63,544454;76,93;100;88,666667;90,147174;533;63,421606;1;2;1
14389;8;COLEGIO JUAN LUIS VIVES; ; ;3;2;5;51;5101;VALPARAÍSO;53;VALPARAÍSO;0;45,529191;53,83111;84,32;100;79,625;73,013027;532;59,021827;2;2;3
14392;8;CTRO INTEGRAL EDUCAC LINDA CORREA; ; ;3;2;5;58;5801;QUILPUÉ;53;VALPARAÍSO;0; ; ;80,2;100;81,5;100;551;93,962857;2;2;3
14394;4;ESCUELA DE PARVULOS SAN LUIS; ; ;3;2;5;51;5109;VIÑA DEL MAR;53;VALPARAÍSO;0;38,8062;54,639341;41,727273;100;51,25;92,875155;512;57,15598;2;2;3
14395;2;COLEGIO EDUPAC; ; ;3;2;5;54;5402;CABILDO;51;QUILLOTA;0;55,973614;56,73612;81,04;100;82,883333;93,767419;511;68,23175;1;2;1
14396;0;COLEGIO MEDIOAMBIENTAL LAS AMAPOLAS; ; ;3;2;5;51;5109;VIÑA DEL MAR;53;VALPARAÍSO;0;26,564534;53,123489;74,225;100;44,216667;89,820925;512;53,128391;2;2;3
14397;9;COLEGIO CRISTIANO DE QUILLOTA; ; ;3;2;5;55;5501;QUILLOTA;51;QUILLOTA;0;33,700938;51,269158;0;100;0;83,952284;533;47,294214;2;2;3
14398;7;CENTRO DE ATENCION ANDALUE; ; ;3;2;5;55;5501;QUILLOTA;51;QUILLOTA;0; ; ;90,45;96,666667;63;100;551;92,886667;2;2;3
14400;2;LICEO TÉCNICO CARLOS ALESSANDRI ALTAMIRANO; ; ;2;1;5;56;5602;ALGARROBO;54;SAN ANTONIO;0;28,51772;58,099728;62,327273;100;35,833333;89,341316;533;54,005873;2;2;3
14411;8;ESCUELA DE PARVULOS ANNY SCHOOL; ; ;3;2;5;55;5502;CALERA;51;QUILLOTA;0;34,007957;54,901404;80,372727;100;61;92,875155;513;58,260235;2;2;3
14412;6;COLEGIO SAN PABLO; ; ;3;2;5;57;5701;SAN FELIPE;52;LOS ANDES;0;37,036202;62,411984;81,32;100;61,383333;92,349615;511;61,444032;2;2;3
14413;4;COLEGIO SANTA CLARA; ; ;3;2;5;51;5101;VALPARAÍSO;53;VALPARAÍSO;0;49,642073;54,623822;74,07;100;64,4;94,130699;532;64,035191;2;2;3
14414;2;COLEGIO EDUCENTER; ; ;3;2;5;53;5302;CALLE LARGA;52;LOS ANDES;0;49,201332;54,090865;88,05;100;92,166667;93,938534;511;65,907746;1;2;1
14416;9;COLEGIO DOMINGO ORTIZ DE ROZAS; ; ;3;2;5;54;5401;LA LIGUA;51;QUILLOTA;0;55,905491;50,245982;74,76;100;70,1;93,110477;532;65,228811;1;2;1
14417;7;COLEGIO PAIDOS; ; ;3;2;5;51;5101;VALPARAÍSO;53;VALPARAÍSO;0;45,529191;53,83111;78,45;100;64,375;68,864223;532;56,99439;2;2;3
14418;5;COLEGIO PANAL ANEXO; ; ;3;2;5;58;5801;QUILPUÉ;53;VALPARAÍSO;0;30,571921;53,106302;94,254545;96,666667;69,583333;89,070443;532;56,844645;2;2;3
14420;7;COLEGIO EL ALBA; ; ;3;2;5;56;5604;EL QUISCO;54;SAN ANTONIO;0;43,991565;56,226065;71,78;100;65,933333;91,295338;532;61,708618;2;2;3
14421;5;CENTRO DE EDUCACION DE ADULTOS CEAVI; ; ;3;2;5;51;5109;VIÑA DEL MAR;53;VALPARAÍSO;0;45,529191;53,83111;63,135;100;37,5;67,554018;532;54,443495;2;2;3
14423;1;ESCUELA DE PARVULOS BAMBI; ; ;3;2;5;54;5401;LA LIGUA;51;QUILLOTA;0;42,498843;54,437429;0;100;0;92,875155;511;53,399586;2;2;3
14452;5;COLEGIO LUTERANO CONCORDIA; ; ;3;2;5;51;5109;VIÑA DEL MAR;53;VALPARAÍSO;0;37,588922;49,235363;63,725;100;47,216667;89,975149;511;55,672669;2;2;3
14453;3;COLEGIO LOS LIBERTADORES; ; ;3;2;5;58;5801;QUILPUÉ;53;VALPARAÍSO;0;43,269702;56,338075;92,56;100;88;96,203807;511;64,902888;2;1;2
14454;1;LIC.EDUC.DE ADULTOS JUAN F.GONZALEZ R.; ; ;2;1;5;57;5701;SAN FELIPE;52;LOS ANDES;0;36,449839;54,968483;77,74;100;66,375;79,380339;533;56,32444;2;2;3
14457;6;ESCUELA DE PARVULOS LOS CLAVELES; ; ;2;1;5;56;5602;ALGARROBO;54;SAN ANTONIO;0;34,007957;54,901404;87,009091;100;58,4;96,997192;513;59,435265;2;2;3
14460;6;ESCUELA PARVULOS PIECECITOS DE NINO; ; ;3;2;5;54;5401;LA LIGUA;51;QUILLOTA;0;42,498843;54,437429;0;100;0;92,875155;511;53,399586;2;2;3
14462;2;CENTRO DE ESTUDIOS SAN IGNACIO; ; ;3;2;5;58;5804;VILLA ALEMANA;53;VALPARAÍSO;0;45,529191;53,83111;63,22;100;67,375;81,477849;532;59,005588;2;2;3
14463;0;CTRO.INTEGRAL DE EDUCACION ALBORADA; ; ;3;2;5;51;5103;CONCÓN;53;VALPARAÍSO;0; ; ;98,8125;100;98,75;95,250103;551;96,632208;1;2;1
14467;3;LICEO DE ADULTOS JACQUES COUSTEAU; ; ;3;2;5;51;5101;VALPARAÍSO;53;VALPARAÍSO;0;45,529191;53,83111;0;100;0;71,634158;532;49,678026;2;2;3
14470;3;LICEO POLITÉCNICO MARGA MARGA; ; ;1;1;5;58;5801;QUILPUÉ;53;VALPARAÍSO;0;28,819439;54,083498;94;100;82,583333;88,273211;532;56,995845;2;2;3
14479;7;ESCUELA BASICA MUNICIPAL ARAUCARIA; ; ;2;1;5;54;5402;CABILDO;51;QUILLOTA;0;31,850088;52,166347;0;96,666667;0;92,689818;513;48,716203;2;2;3
14482;7;COLEGIO NUEVO HORIZONTE; ; ;3;2;5;58;5801;QUILPUÉ;53;VALPARAÍSO;0;45,084166;49,105985;96,77;100;89,166667;93,717869;511;63,313282;2;1;2
14487;8;COLEGIO MAESE DA VINCI; ; ;3;2;5;54;5401;LA LIGUA;51;QUILLOTA;0;39,32627;55,18312;90,84;100;43,333333;93,883068;532;60,273335;2;2;3
14490;8;COLEGIO MANANTIAL; ; ;3;2;5;51;5109;VIÑA DEL MAR;53;VALPARAÍSO;0;42,897441;50,366767;0;100;0;90,398779;532;51,862479;2;2;3
14492;4;CTRO.EDUC.ADULTOS PEDRO DE VALDIVIA; ; ;3;2;5;56;5601;SAN ANTONIO;54;SAN ANTONIO;0;36,449839;54,968483;58,74;96,666667;50;79,828047;533;54,39752;2;2;3
14493;2;ESC. ESPECIAL SAN JUAN DE DIOS; ; ;3;2;5;51;5109;VIÑA DEL MAR;53;VALPARAÍSO;0; ; ;89,575;100;93,65;100;551;97,305714;1;2;1
