RBD,NOM_RBD,DOCENTES
226,ESCUELA BASICA EMILIO SOTOMAYOR,34
227,ESCUELA BASICA PRESIDENTE BALMACEDA,57
228,ESCUELA BASICA VADO DE TOPATER,29
229,ESCUELA REPUBLICA DE CHILE,28
230,ESCUELA BASICA ANDRES BELLO,35
231,ESCUELA BASICA JOHN FITZGERALD KENNEDY,22
232,ESCUELA BASICA PEDRO VERGARA KELLER,24
236,ESCUELA DE PARVULOS LAS ABEJITAS,13
237,ESCUELA DE PARVULOS LLAMITO BLANCO,17
238,ESCUELA DIFERENCIAL LOA,32
239,ESCUELA BASICA 21 DE MAYO,28
240,ESCUELA BASICA REPUBLICA DE FRANCIA,30
241,ESCUELA PARVULARIA LAS ARDILLAS,12
243,ESCUELA BASICA PUKARA,1
244,ESCUELA DE PARVULOS LOS ENANITOS,19
245,ESCUELA DE PARVULOS PAPELUCHO,9
246,ESCUELA BASICA SENORA DE LA CANDELARIA,1
248,ESCUELA BASICA SAN JOSE,1
252,ESCUELA BASICA SAN FRANCISCO,6
253,COLEGIO ADVENTISTA DE CALAMA,37
254,FUNDACION EDUCACIONAL COLEGIO NUESTRA SEÑORA DE AYQUINA,32
255,COLEGIO EJERCITO DE SALVACION,49
256,INSTITUTO OBISPO SILVA LEZAETA,57
257,COLEGIO CHUQUICAMATA,35
262,ESCUELA DE PARVULOS MICKEY MOUSE,15
265,ESCUELA DE PARVULOS LOS CONEJITOS,8
268,ESC. BASICA RURAL SAN ANTONIO DE PADUA,1
269,ESCUELA BASICA SAN PEDRO DE ATACAMA,47
270,COMPLEJO EDUCACIONAL TOCONAO,22
271,ESCUELA BASICA CAMAR,4
273,ESCUELA BASICA SOLOR,5
274,ESCUELA BASICA SAN ROQUE,5
275,ESCUELA BASICA ANDINA,1
276,ESCUELA BASICA TALABRE,3
277,ESCUELA BASICA SAN BARTOLOME,5
279,LICEO INDUSTRIAL EULOGIO GORDO MONEO,65
280,LICEO COMERCIAL JERARDO MUNOZ CAMPOS,48
283,LICEO TECNICO ANTOFAGASTA,52
284,LICEO DE HOMBRES DE ANTOFAGASTA MARIO BAHAMONDE SILVA,54
285,LICEO BICENTENARIO MARTA NAREA DIAZ,59
286,LICEO LA PORTADA,39
287,LICEO DOMINGO HERRERA RIVERA,52
288,ESCUELA JAPON,44
289,ESCUELA ESPANA,43
291,ESCUELA PADRE GUSTAVO LE PAIGE WALQUE,58
292,ESCUELA REPUBLICA DE ITALIA,50
293,ESCUELA JOSE PAPIC RADNIC,81
294,ESCUELA PROFESORA LJUBICA DOMIC WUTH,40
296,ESCUELA REPUBLICA DE LOS ESTADOS UNIDOS,43
297,ESCUELA ALCALDE MAXIMILIANO POBLETE,49
298,ESCUELA DARIO SALAS DIAZ,40
301,ESCUELA ROMULO J. PENA MATURANA,36
302,ESCUELA JUAN LOPEZ,41
303,ESCUELA REPUBLICA ARGENTINA,34
304,LICEO BICENTENARIO ANDRES SABELLA,58
305,ESCUELA HUMBERTO GONZALEZ ECHEGOYEN,69
306,ESCUELA HUANCHACA,27
307,ESCUELA DE PARVULOS MARCELA PAZ,22
310,ESCUELA CLAUDIO MATTE PEREZ,35
311,ESC DIFERENCIAL JUAN SANDOVAL CARRASCO,31
312,ESCUELA ECUADOR,44
313,ESCUELA ARTURO PRAT,64
315,ESCUELA HEROES DE LA CONCEPCION,34
316,ESCUELA LAS AMERICAS PROFESOR JUSTO VALLADARES ORELLANA,37
317,ESCUELA LAS ROCAS,63
318,ESCUELA EDDA CUNEO DONNAGIO,17
319,ESCUELA LA BANDERA,50
