RBD,NOM_RBD,DOCENTES
5474,ESC. BASICA RALUN,3
5479,ESC. BASICA CHANCO,4
5480,ESCUELA RUCATRARO ALTO,3
5482,ESC. BASICA RUCAYECO,4
5485,ESC. BASICA BUTA RINCON,5
5487,ESCUELA MUNICIPAL G-180 MARIA RIQUELME MENA,4
5492,ESC. BASICA REDUCCION CALBUDIR,4
5493,ESCUELA PARTICULAR LAS COLINAS,2
5494,ESCUELA PARTICULAR PICHI-LONCOYAN,1
5496,ESCUELA PARTICULAR QUILLUCO,1
5499,ESCUELA PARTICULAR GABRIELA MISTRAL,12
5503,ESCUELA PARTICULAR EL EDEN,2
5504,ESCUELA PARTICULAR CALBUCO,2
5506,ESCUELA GENERAL LAGOS,2
5507,LICEO MARIA AURORA GUINEZ RAMIREZ,26
5508,ESCUELA PEDRO DE ONA,51
5509,LICEO BICENTENARIO INDÓMITO DE PURÉN,31
5510,ESCUELA ENZO FERRARI,32
5513,ESC. BASICA TRANAMAN,2
5521,ESC. BASICA QUILACO,2
5522,ESC. BASICA HUITRANLEBU,1
5524,ESC. BASICA EL LINGUE,2
5525,ESC. BASICA CAUPOLICAN,11
5535,ESCUELA PARTICULAR LOS DERRAMES,1
5536,ESCUELA PARTICULAR PICHIHUENOCOLLE,2
5537,ESCUELA PARTICULAR REMEHUEICO,7
5538,ESCUELA GUSTAVO VASQUEZ DIAZ,30
5539,ESCUELA DE LOS SAUCES,22
5541,ESC. BASICA ELENA MULLER M.,8
5548,ESC. BASICA PIVADENCO,2
5550,ESCUELA BASICA VILLA TRINTE,5
5551,ESC. BASICA GUIDO GRANDE,2
5554,ESC. BASICA HUITRANLEBU,1
5558,ESC. BASICA NININCO,1
5563,ESC. BASICA PETRONA PAILLALEO,1
5565,INSTITUTO SUPERIOR DE COMERCIO,25
5566,LICEO INDUSTRIAL A-27 TEMUCO,23
5567,LICEO BICENTENARIO TECNOLÓGICO DE LA ARAUCANIA DE TEMUCO,14
5568,INSTITUTO SUPERIOR DE ESPECIALIDADES TECNICAS DE TEMUCO,26
5569,LICEO GABRIELA MISTRAL DE TEMUCO,39
5570,LICEO PABLO NERUDA,88
5574,COMPLEJO EDUCACIONAL PADRE LAS CASAS,20
5575,ESCUELA ARTURO PRAT,21
5578,ESCUELA LLAIMA,58
5580,ESCUELA CAMPOS DEPORTIVOS,53
5582,ESCUELA STANDAR,20
5583,ESCUELA SANTA ROSA,29
5585,ESCUELA VILLA ALEGRE,20
5588,ESCUELA MANUEL RECABARREN,25
5589,ESCUELA MILLARAY,32
5590,COMPLEJO EDUC. UN AMANECER EN LA ARAUCANIA,24
5592,ESCUELA ANDRES BELLO,20
5596,COLEGIO MUNDO MAGICO,53
5597,COLEGIO ALONSO DE ERCILLA,37
5598,ESCUELA ESPECIAL NIELOL,35
5599,ESCUELA DARIO SALAS,19
5600,ESCUELA DE ADULTOS MANUEL ROJAS,1
5601,ESCUELA MUNICIPAL EL TRENCITO,14
5603,JARDIN INFANTIL MONTE VERDE,14
5604,ESCUELA PEDRO DE VALDIVIA,20
5606,ESCUELA VILLA CAROLINA,29
5608,ESCUELA LOS AVELLANOS,21
5611,ESCUELA LOS TRIGALES,32
5613,COMPLEJO EDUCACIONAL LA GRANJA,41
5614,ESCUELA LABRANZA,29
5617,ESCUELA DE PARVULOS CAMPANITA,9
5619,ESCUELA DE PARVULOS SEMILLITA,10
5620,LICEO POLIVALENTE DE ADULTOS SELVA SAAVEDRA,11
5622,ESCUELA BÁSICA BERNARDO ÑANKO,23
5623,ESCUELA TRUMPULO CHICO,6
5624,ESCUELA METRENCO,15
5625,ESCUELA TRUF-TRUF.,12
5627,ESCUELA LAUREL HUACHO,8
5629,ESCUELA REDUCCION RALUNCOLLAN,2
5630,ESCUELA MANIO CHICO,7
5631,ESCUELA LICANCO,6
5632,ESCUELA REDUCCION MONTE VERDE,4
5633,ESCUELA CONOCO CHICO,4
5634,ESCUELA NIRRIMAPU,9
5635,ESCUELA TROMEN,6
5636,ESCUELA BOTROLHUE,2
5637,ESCUELA TROMEN BAJO,2
5638,ESCUELA COLPANAO,5
5639,ESCUELA LIRCAY,3
5640,ESCUELA MOLLULCO,14
5644,ESCUELA TROMEN ALTO,2
5645,ESCUELA BOYECO,28
5646,ESCUELA CHOMIO,5
5647,ESCUELA COLLIMALLIN,6
5648,ESCUELA CHAPOD,8
5649,ESCUELA FUNDO MAQUEHUE,11
5651,ESCUELA PARTICULAR COLLIN,1
5652,COLEGIO PROVIDENCIA DE TEMUCO,39
5653,LICEO CARLOS CONDELL DE LA HAZA,7
5654,INSTITUTO CLARET,172
5655,LICEO COMERCIAL TEMUCO BICENTENARIO DE EXCELENCIA,20
5656,LICEO POLITECNICO PUEBLO NUEVO,35
5658,COMPLEJO EDUCACIONAL JAVIERA CARRERA,6
5659,ESCUELA Y LICEO MONTESSORI,38
5661,LICEO ADVENTISTA DE TEMUCO,46
5662,LICEO ESPANA DE TEMUCO,10
5663,LICEO BICENTENARIO DE EXCELENCIA  PADRE OSCAR MOSER,55
5664,COLEGIO AUGUSTO WINTER,18
5666,LICEO CAMILO HENRIQUEZ DE TEMUCO,27
5667,ESC.PARTIC. MONS.GUIDO DE RAMBERGA,27
5668,ESCUELA BASICA VISTA VERDE,17
5669,COLEGIO MADRE ADMIRABLE DE SCHOENSTATT,33
5670,COLEGIO SAN FRANCISCO,30
5675,ESCUELA PARTICULAR ARTURO ARRIAGADA,12
5677,ESC. ESP.RETARDO MENTAL LAS ARAUCARIAS,5
5678,ESCUELA PARTICULAR NTRA.SRA.DEL CARMEN,23
5680,ESC.PART.SAN FRANCISCO DE ASIS DE TEMUCO,24
5682,ESCUELA PARTICULAR FRANCIA,21
5683,ESCUELA PARTICULAR PADRE VENANCIO,7
5684,ESCUELA PART. WENCESLAO VALDIVIA,7
5686,ESCUELA PARTICULAR EL ROBLE,2
5690,ESCUELA PARTICULAR LA ESPIGA,11
5693,ESCUELA PARTICULAR ESTRELLA DE BELEN,3
5694,ESCUELA PARTICULAR ALIANZA,5
5695,ESCUELA PARTICULAR SAN RAFAEL ARCANGEL,18
5697,ESCUELA PARTICULAR LAS AMERICAS,18
5698,ESCUELA PARTICULAR ARAUCANIA,11
5703,LICEO BICENTENARIO DE EXCELENCIA TECNICO PROFESIONAL CENTENARIO,21
5706,ESCUELA PARTICULAR SAN JUAN,21
5709,ESCUELA PARTICULAR LOS TRIGALES,13
5713,COLEGIO PARTICULAR I. CULTURA BRITANICA,16
5714,ESCUELA PART.SANTA MARIA DE LA RIBERA,5
5716,PADRE BARTOLOME DE LAS CASAS,10
5717,ESCUELA PARTICULAR CLAUDIO MATTE,30
5719,ESCUELA PARTICULAR ARAUCANIA,27
5720,COLEGIO ÑIELOL CHE KIMUN,25
5722,ESCUELA PARTICULAR PAPELUCHO,6
5725,ESCUELA PARTICULAR SAN BERNARDO,30
5726,COLEGIO MANUEL MONTT,14
5729,LICEO TÉCNICO FEMENINO SANTA CRUZ ÑIELOL,12
5730,ESCUELA PARTICULAR ROBLE HUACHO,10
5731,ESCUELA PARTICULAR MILLAHUECO,3
5732,ESCUELA PARTICULAR MAQUEHUE,7
5734,ESCUELA PARTICULAR BOTRONHUE,1
5737,ESCUELA PARTICULAR HERMANO PASCUAL,6
5740,ESCUELA PARTICULAR SAN MANUEL,3
5745,ESCUELA PARTICULAR MILLANTU,5
5746,ESCUELA PARTICULAR MONO PAINE,15
5747,ESCUELA BELLAVISTA DE COYAHUE,2
5748,ESCUELA PARTICULAR LAS LOMAS,5
5750,ESCUELA PARTICULAR CRUZ DE MAYO,4
5751,ESCUELA SAN ANTONIO DE NIENOCO,3
5752,ESCUELA PARTICULAR SAN PEDRO RAPA,5
5753,ESCUELA PARTICULAR SAN MIGUEL,6
5754,ESCUELA PARTICULAR NUEVA MEMBRILLAR,4
5756,ESCUELA PARTICULAR RENGALIL,3
5759,ESCUELA PARTICULAR BOYECO,2
5760,ESCUELA PARTICULAR DIEGO PORTALES,3
5761,ESCUELA SAN MARTIN DE PORRES,8
5763,ESCUELA PARTICULAR MANZANAR DE LLEUPECO,15
5764,ESCUELA PARTICULAR ZANJA,5
5765,ESCUELA PARTICULAR KIMELTU DE PANCO,4
5766,ESCUELA BÁSICA PARTICULAR SUBVENCIONADA GUIDO BUCHER,2
5767,ESCUELA PARTICULAR TRES CERROS,5
5768,ESCUELA PARTICULAR SAN VICENTE,6
5770,ESCUELA BASICA KOYAM,6
5773,ESCUELA PARTICULAR LUIS CRUZ MARTINEZ,6
5774,ESCUELA PARTICULAR SAN FRANCISCO,12
5776,ESCUELA PARTICULAR VIRGEN DE GUADALUPE,2
5778,ESCUELA PARTICULAR EL VALLE,2
5779,ESCUELA PARTICULAR EL ESFUERZO,7
5781,ESCUELA PARTICULAR ARAUCO,6
5782,ESCUELA PARTICULAR SIGLO XXI,23
5783,ESCUELA PARTICULAR SAN JOSE,1
5784,ESCUELA PARTICULAR SARGENTO CANDELARIA,3
5785,ESCUELA PARTICULAR SAN MATEO,1
5790,ESCUELA PARTICULAR EL CRUCERO,7
5791,ESCUELA PARTICULAR WITRAMALAL,4
5793,ESCUELA ANDRES BELLO,6
5794,ESCUELA PARTICULAR PROF.ANDRES AGUAYO,6
5796,ESCUELA PARTICULAR DOCTOR MUHAJIR,6
5797,ESCUELA PARTICULAR REPOCURA,4
5798,ESCUELA PARTICULAR NIRRIMAPU,6
5799,ESCUELA SANTA INES DE CAIVICO,2
5800,ESCUELA PARTICULAR JOSE LUIS SANFUENTES,2
5801,ESCUELA PARTICULAR POETA ERCILLA,4
5803,ESCUELA PARTICULAR PICHI ITINENTO,3
5806,ESCUELA PARTICULAR DAVID RIADI MATUS,1
5807,ESCUELA PARTICULAR LA ROCA,3
5808,COLEGIO DE LA SALLE,27
5810,COLEGIO BAUTISTA,84
5813,COLEGIO CENTENARIO,55
5814,COLEGIO SANTA CRUZ,40
5816,COLEGIO METODISTA,21
5823,LICEO H-C JORGE TEILLIER SANDOVAL,42
5824,ESC. BASICA NUMERO SEIS,38
5825,ESC. BASICA AMELIA GODOY,19
5827,ESCUELA IRENE FREI,19
5828,ESC. BASICA GUACOLDA,34
5829,ESCUELA LOS CACHORROS,33
5831,LICEO LOS CASTANOS,20
5832,ESC. BASICA NIERECO,14
5833,ESC. BASICA REWE KIMUN,8
5834,ESC. BASICA ALTO MECO,3
5835,ESC. BASICA VILLA COIHUECO,3
5837,ESCUELA DOLLICO ALTO,1
5838,ESC. BASICA LAS MINAS,1
5844,ESC. BASICA SAN LUIS DE ROBLER-A,1
5846,ESC. BASICA TRES ESQUINAS,3
5847,ESC. BASICA SANTA YOLANDA,4
5849,ESC. BASICA PUMALAL,2
5851,ESC. BASICA CHUMIL,3
5852,ESC. BASICA EL ESCUDO,2
5854,ESC. BASICA VEGA LARGA,12
5855,ESC. BASICA MUCO CHUREO,3
5857,ESC. BASICA MALPICHAHUE,1
5861,ESC.PART.SAN FRANCISCO DE ASIS - LAUTARO,47
5862,ESCUELA PARTICULAR CORAZON DE JESUS,20
5868,ESCUELA PARTICULAR QUILACURA,10
5869,ESCUELA PARTICULAR SANTA TERESA,8
5871,ESCUELA PARTICULAR SANTA TERESITA,6
5872,ESCUELA PARTICULAR HUINCA RAILAO,6
5873,ESCUELA PARTICULAR LOS HUALLES,5
5875,ESCUELA PARTICULAR NUEVA DOLLINCO,8
5876,ESCUELA PARTICULAR SAN RAFAEL,10
5878,ESCUELA PARTICULAR VALLEPENCO,12
5879,LICEO ISABEL POBLETE V.,20
5880,ESCUELA EDUARDO FREI MONTALVA,41
5885,ESCUELA LOS QUIQUES,9
5888,ESC. BASICA PARLAMENTO,10
5893,ESCUELA PARTICULAR LAS CEREZAS,2
5894,ESCUELA PARTICULAR LA ESTRELLA,13
5896,ESCUELA JAPON,16
5897,COLEGIO AMERICA,40
5899,ESCUELA DAGOBERTO GODOY,9
5901,ESC. BASICA VEGA REDONDA,11
5902,ESCUELA MARTIN ALONQUEO PIUTRIN,20
5905,ESC. BASICA COLLIN ALTO,6
5911,ESC. BASICA CANTINO,4
5919,ESCUELA PADRE OSVALDO VEGA,13
5921,LICEO BICENTENARIO PADRE NICOLÁS,29
5923,LICEO AGRICOLA CRUZ DEL SUR,9
5927,ESCUELA PARTICULAR CODINHUE,2
5930,ESCUELA PARTICULAR SANTA GERTRUDIS,5
5933,ESCUELA PARTICULAR EL NATRE,1
5935,ESCUELA PARTICULAR SANTA TERESITA,8
5938,SAN MIGUEL DE QUINTRILPE,9
5940,ESCUELA PARTICULAR VIRGEN DE FATIMA,22
5942,ESCUELA PARTICULAR SAN ANTONIO,10
5947,ESCUELA PARTICULAR CRUZ DEL SUR,3
5952,ESCUELA PARTICULAR SANTA MONICA,8
5954,ESCUELA PARTICULAR LOS ROBLES,3
5955,ESCUELA PARTICULAR MONTERREY,12
5957,LICEO MUNICIPAL ATENEA,42
5959,LICEO ARTURO VALENZUELA,32
5960,ESCUELA BASICA LAS HORTENCIAS,16
5962,ESCUELA HECTOR VALENZUELA CEA,1
5963,ESC. BASICA LLANQUI LLANQUI,1
5970,ESCUELA VIDA Y PAZ,8
5973,ESC. BASICA EL ROSAL,6
5990,ESCUELA BASICA QUECHEREHUE,14
5992,COMPLEJO EDUCACIONAL JUAN BOSCO,18
5993,ESCUELA LEOVIGILDO KLEY,25
5994,ESCUELA PARTICULAR SUBVENCIONADA PADRE MARCELINO HUICHAMIL,7
5995,ESCUELA PARTICULAR QUECHEREHUE,2
5998,ESCUELA PARTICULAR LA BASTILLA,2
5999,ESCUELA PARTICULAR PADRE BERNABE,4
6003,ESC. PART. STA. ISABEL DE TRAFAMPULLI,1
6005,ESCUELA AURORA DE CHILE,7
6006,ESCUELA PARTICULAR ALAMEDA,6
6007,LICEO LOS ANDES,12
6012,ESC. BASICA CUMCUMLLAQUE,5
6018,ESCUELA PARTICULAR SAN GABRIEL,12
6019,ESCUELA PARTICULAR LLAIMA,6
6021,ESCUELA PARTICULAR CAREN,2
6022,ESCUELA PARTICULAR LA SUERTE,1
6023,ESCUELA PARTICULAR PALIHUEPILLAN,4
6024,ESCUELA PARTICULAR EL RETIRO,3
6025,ESCUELA DAHUELHUE,5
6027,COMPLEJO EDUCACIONAL MONSEÑOR FRCO. VALDES S,33
6029,ESCUELA RUCA MANKE,13
6030,ESCUELA JERONIMO NECULPAN,8
6031,ESCUELA EL SANTILLO,4
6036,ESCUELA LICANCURA,8
6038,COMPLEJO EDUCACIONAL RUKA NGEN,7
6039,ESCUELA PARTICULAR CATRIPULLI,11
6040,ECO ESCUELA ANTU MAWIDA,7
6042,ESCUELA PARTICULAR VIRGEN DE RINCONADA,1
6043,ESCUELA PARTICULAR LONCOFILO,8
6045,ESCUELA PARTICULAR PANQUE,9
6046,ESCUELA PARTICULAR MAITE ALTO,2
6048,ESCUELA PARTICULAR MAICHIN,2
6049,ESCUELA PARTICULAR LOS SAUCES,4
6051,LICEO BICENTENARIO   HOTELERIA Y TURISMO,23
6052,ESCUELA CARLOS HOLZAFEL,50
6053,ESCUELA JOSE MIGUEL MARTINEZ SOTO,10
6054,ESC. BASICA QUELHUE,7
6056,ESCUELA BASICA MUNICIPAL DE EL CLARO,28
6060,ESC. BASICA VILLA SAN PEDRO,13
6062,ESC. BASICA PICHARES,5
6063,ESC. BASICA CANDELARIA,4
6066,ESC. BASICA CARILEUFU,23
6069,ESC.BASICA PAILLACO,16
6070,COMPLEJO EDUCACIONAL PABLO SEXTO,13
6071,ESCUELA PARTICULAR NTRA.SRA.DE FATIMA,26
6072,ESCUELA PARTICULAR RAMON GUINEZ,38
6075,ESCUELA PARTICULAR SAN LUIS,2
6076,ESCUELA PARTICULAR CABURGUA,3
6077,ESCUELA PARTICULAR QUETROLELFU,2
6082,ESCUELA SANTA ROSA DE LLAFENCO,6
6083,ESCUELA PARTICULAR RELICURA,1
6084,LICEO BICENTENARIO ARAUCANÍA,22
6085,LICEO POLITECNICO VILLARRICA,35
6086,ESCUELA JOSE ABELARDO NUNEZ,26
6087,LICEO BICENTENARIO DE EXCELENCIA ARTÍSTICO ALEXANDER GRAHAM BELL,35
6088,ESCUELA VALENTIN LETELIER,13
6089,ESCUELA VOIPIR DE NANCUL,19
6090,ESCUELA MARIANO LATORRE,24
6091,ESC.ESP.RET.MENTAL BEATO LUIS ORIONE,7
6092,ESCUELA EPUKLEI,19
6093,ESCUELA MOLCO ALTO,8
6097,ESCUELA LAS VERTIENTES,1
6107,ESCUELA CONQUIL,6
6108,ESCUELA MANANTIAL,12
6112,COLEGIO DE HUMANIDADES DE VILLARICA,19
6113,ESCUELA INDUSTRIAL SAN JOSE,29
6115,COMPLEJO EDUCACIONAL SAN AGUSTIN,20
6116,ESCUELA PARTICULAR SAGRADA FAMILIA,21
6117,ESCUELA PARTICULAR NANCUL,6
6118,COLEGIO SANTA CRUZ,29
6119,LICEO PART. LIBERTAD,16
6120,COLEGIO ALBERTO HURTADO,38
6121,ESCUELA PARTICULAR PUCARA ALTO,8
6122,ESCUELA PARTICULAR ADVENTISTA,21
6123,ESCUELA PARTICULAR ARTURO PRAT,3
6124,ESCUELA PARTICULAR PEDRO AGUIRRE CERDA,8
6126,ESCUELA PARTICULAR NUEVA ESPERANZA,5
6127,ESCUELA PARTICULAR CUDICO,1
6129,ESCUELA PARTICULAR HUECHULELFU,2
6135,ESCUELA PARTICULAR LUIS CRUZ MARTINEZ,9
6137,ESCUELA PARTICULAR SAN LUIS,10
6138,ESCUELA PARTICULAR CALFUTUE,2
6139,ESCUELA PARTICULAR SANTA RITA,1
6140,ESCUELA PARTICULAR NUEVA LONCOTRARO,1
6142,ESCUELA PARTICULAR LIUMALLA,1
6143,ESCUELA PARTICULAR RAYENKO,2
6147,ESCUELA PARTICULAR NELTUME,3
6149,ESCUELA PARTICULAR SANTA FILOMENA,5
6151,ESCUELA PARTICULAR PUENTE BASA,2
6154,ESCUELA PARTICULAR CURILELFU,2
6155,ESCUELA PARTICULAR SAN FRANCISCO,1
6157,ESCUELA PARTICULAR VIRGEN CANDELARIA,1
6160,ESCUELA PARTICULAR CARMELITA,2
6161,COLEGIO ALEMAN VILLARRICA,14
6163,LICEO JUAN SCHLEYER,37
6164,ESCUELA JUAN SEGUEL,37
6165,ESCUELA RAIMAPU,11
6166,ESCUELA LA ESPERANZA,22
6167,ESC. ESP.RET.MENTAL PAUL HARRIS,13
6168,ESCUELA LENFUEN,2
6170,ESCUELA ARMANDO QUINTULEN,8
6173,ESCUELA RUCAHUE,6
6175,ESCUELA LAS PALMERAS,5
6177,ESCUELA CACIQUE AILLANIR,4
6178,ESCUELA BASICA QUETROCO,7
6179,ESCUELA RURAL EL LLIUCO,4
6180,ESCUELA DOLLINCO,3
6181,ESCUELA COIPUE,11
6183,ESCUELA ALLIPEN,11
6188,COLEGIO SANTA CRUZ DE FREIRE,27
6189,ESCUELA PARTICULAR ARTURO PRAT,18
6190,ESCUELA PARTICULAR GENERAL PRIETO,11
6192,ESCUELA PARTICULAR LAS PATAGUAS,4
6198,COLEGIO AYÜN MAPU,3
6200,ESCUELA PARTICULAR EL TESORO,12
6204,ESCUELA PARTICULAR SAN ISIDRO LABRADOR,12
6205,ESCUELA PARTICULAR SAN MANUEL DE LOLEN,12
6206,ESCUELA PARTICULAR ROSARIO VASQUEZ DE V.,5
6207,ESCUELA PARTICULAR RUPAYAN DE MALLOHUE,6
6208,REDUCCIÓN PAINEMIL,4
6210,LICEO AGRICOLA PUQUEREO,22
6211,ESCUELA PARTICULAR MAHUIDACHE,1
6214,ESCUELA PARTICULAR RENACER,4
6216,ESCUELA PARTICULAR SAN ANTONIO,5
6219,ESCUELA PARTICULAR TRAPILHUE,5
6220,ESCUELA PARTICULAR PATRIA NUEVA,5
6221,ESCUELA PARTICULAR SAN ROQUE,1
6222,ESCUELA PARTICULAR SANTA ELENA,2
6223,LICEO BICENTENARIO CIENCIAS Y HUMANIDADES RBD 6223-5,29
6224,ESCUELA UNION LATINOAMERICANA,35
6225,ESCUELA JUAN BTA. CHESTA CH.,19
6227,ESCUELA LAS AMERICAS,18
6230,LICEO MUNICIPAL LA FRONTERA,20
6231,ESC. BASICA LOS GALPONES,4
6237,ESCUELA NUEVO HORIZONTE,6
6251,ESCUELA RESERVA FORESTAL MAHUIDANCHI,3
6252,LICEO BICENTENARIO POLITECNICO PITRUFQUEN,35
6253,COMPLEJO EDUC.MONSENOR GUILLERMO HARTL,23
6254,COLEGIO MADRES DOMINICAS,58
6262,ESCUELA PARTICULAR RESERVA RAIN,11
6263,ESCUELA PARTICULAR MUNE BAJO,2
6267,LICEO PARTICULAR SUBV.QUINQUE,19
6268,ESCUELA PARTICULAR HUEFEL COMUY,8
6269,LICEO BICENTENARIO COMPLEJO EDUCACIONAL ANDRES ANTONIO GORBEA,23
6270,LICEO JOSE VICTORINO LASTARRIA,27
6271,ESCUELA BASICA CINCO,25
6272,ESCUELA BASICA LICARAYEN,23
6273,ESC.PRESBITERO JOSE AGUSTIN GOMEZ Z.,30
6276,ESCUELA BASICA MUNICIPAL SAN JUSTO,2
6279,ESCUELA MELIRREHUE,2
6280,ESCUELA BASICA EL RINCO,1
6281,ESCUELA EL LIUCO,2
6282,ESCUELA EL LAUREL,1
6283,ESCUELA CUARTA FAJA,2
6285,ESCUELA BASICA LOS PERALES,28
6289,ESCUELA FAJA RICCI,1
6290,ESCUELA PIDENCO ALTO,2
6294,ESCUELA PARTICULAR NTRA.SRA.DEL CARMEN,8
6300,COLEGIO JUAN PABLO II,17
6301,LICEO POLITECNICO ANDRES BELLO,16
6302,LICEO BICENTENARIO PADRE ALBERTO HURTADO CRUCHAGA,27
6303,ESCUELA EGON ERNTS KEUTMANN BESGEN,14
6304,ESCUELA ALBORADA,52
6305,ESCUELA DOMITILA PINNA PARRA,18
6308,CENTRO EDUCACIONAL DE DESARROLLO INTEGRAL WE NEPEN,16
6315,ESCUELA RUCAHUE,1
6317,ESCUELA EL CASTILLO,2
6319,ESCUELA ESMERALDA,2
6322,ESCUELA WINGKUL-NIGEN,1
6323,ESCUELA WENUY KUDAU,1
6325,ESCUELA PUKOYAM,1
6327,ESCUELA BASICA LUMACO SUR,1
6336,COLEGIO SANTA CRUZ DE LONCOCHE,66
6337,ESCUELA PARTICULAR JUAN XXIII,6
6343,ESCUELA PARTICULAR COLLICO,1
6344,ESCUELA PARTICULAR LIGLELFUN,1
6345,ESCUELA PARTICULAR PULMAHUE,1
6347,ESCUELA PARTICULAR SUBVENCIONADA LA FAMILIA,4
6348,COMPLEJO EDUCACIONAL MARTIN KLEINKNECHT,27
6349,ESCUELA AGUAS Y GAVIOTAS,39
6350,ESCUELA RAYEN LAFQUEN QUEULE,20
6351,ESCUELA EL SEMBRADOR,22
6352,ESCUELA AMANECER DE VILLA LOS BOLDOS,16
6353,ESCUELA SAN PEDRO,2
6358,ESCUELA BASICA ESTACION TOLTEN,1
6361,ESCUELA DE CAYCHAYEN,1
6363,ESCUELA PUCHILCO,1
6370,ESCUELA LA CONCEPCION,1
6371,ESCUELA ANTU-LAFQUEN,3
6373,ESCUELA PORMA,3
6379,ESCUELA PART. SUBV. SAN JOSÈ OBRERO,9
6380,ESCUELA PARTICULAR SUBVENCIONADA PADRE ISIDORO,10
6381,ESCUELA PARTICULAR PURALACO,14
6382,ESCUELA PARTICULAR RAQUINCURA,2
6385,ESCUELA PARTICULAR CHANQUIN,14
6389,ESCUELA POCOYAN,14
6390,ESCUELA PARTICULAR ARAUCANA PELEHUE,2
6391,ESCUELA PARTICULAR VILLA BOLDOS,2
6393,ESCUELA PARTICULAR FRUTILLAR,6
6397,LICEO MUNICIPAL BARROS ARANA,19
6398,COMPLEJO EDUCACIONAL NUEVA ALBORADA,38
6399,ESCUELA HORIZONTES,19
6400,ESCUELA ISLA LLICAN,1
6407,ESCUELA NOHUALHUE,2
6410,ESCUELA MALALHUE,1
6411,ESCUELA PUYEHUE,2
6413,ESCUELA DE RUCA-CURA,1
6415,ESCUELA LOS TRONCOS,2
6420,ESCUELA PARTICULAR PADRE ALEJANDRO ORTEGA,8
6421,ESCUELA PARTICULAR BAUTISTA,10
6423,ESCUELA PARTICULAR HUALPIN,9
6424,ESCUELA PARTICULAR ARTURO ALESSANDRI,5
6425,ESCUELA PARTICULAR QUILIMANZANO,1
6427,ESCUELA PARTICULAR QUILMER,4
6429,ESCUELA PARTICULAR REBECA MATTE BELLO,2
6432,ESCUELA PARTICULAR ALTO CHELLE,4
6434,ESCUELA PARTICULAR PORMA,12
6435,ESCUELA PARTICULAR HUIDIMA,1
6441,ESCUELA RUCA COMCHE DE PELECOE,2
6443,ESCUELA PART. KOM PU LOF NI KIMELTUWE,4
6444,ESCUELA PARTICULAR BELLAVISTA,2
6446,ESCUELA PARTICULAR SAN MIGUEL DE TRAUHUE,2
6449,ESCUELA PARTICULAR BERNARDO O`HIGGINS,1
6452,LICEO REINO DE SUECIA,33
6454,ESCUELA BASICA COLLICO RANCO,6
6455,ESCUELA BASICA BARTOLO LLANCALEO,6
6456,ESCCUELA BASICA INALAFQUEN,4
6457,ESC. BASICA AUGUSTO WINTER TAPIA,26
6458,ESCUELA BASICA CALOF,5
6459,ESC. BASICA ANTONIO LADINO,6
6460,ESCUELA PARTICULAR SAN SEBASTIAN,21
6461,ESCUELA PARTICULAR PADRE JUAN WEVERING,8
6464,ESCUELA PARTICULAR HUAPI,1
6465,LICEO PART. SUBVENC. LA SIERRA,16
6471,ESCUELA PARTICULAR SOL NACIENTE,7
6474,ESCUELA PARTICULAR QUIFO,3
6475,ESCUELA PARTICULAR LLAGUEY,5
6477,ESCUELA PARTICULAR PERQUINAN,2
6478,ESCUELA PARTICULAR PIEDRA ALTA,4
6479,ESCUELA PARTICULAR DEUME,7
6480,ESCUELA PARTICULAR NUEVA RUCATRARO,10
6481,ESCUELA PARTICULAR CHEUCAN,1
6485,ESCUELA PADRE ERNESTO WILHELM,4
6487,ESCUELA PARTICULAR LOS CISNES,6
6488,ESCUELA PARTICULAR DIEGO PORTALES,10
6489,ESCUELA PARTICULAR SANTA CRUZ,2
6490,ESCUELA PARTICULAR MANUEL ROJAS,2
6492,ESCUELA PARTICULAR DAGOBERTO GODOY,6
6495,ESCUELA RUCA RAQUI,6
6496,ESCUELA GABRIELA MISTRAL,2
6497,LICEO PUBLICO BICENTENARIO DE EXCELENCIA CLAUDIO ARRAU LEON,50
6499,ROMILIO ADRIAZOLA,31
6500,COMPLEJO EDUCACIONAL DARÍO SALAS,72
6501,ESCUELA BASICA KIM RUKA,57
6502,ESCUELA BASICA NEHUENTUE,15
6504,ESCUELA TRANAPUENTE,16
6518,ESCUELA BASICA EL MANZANO,1
6528,ESCUELA BASICA BAJO YUPEHUE,7
6542,ESCUELA PARTICULAR ADVENTISTA,7
6546,ESCUELA PARTICULAR BAJO PELLAHUEN,5
6549,ESCUELA PARTICULAR COLONIA LAS NOCHAS,1
6550,ESCUELA PARTICULAR VISTA HERMOSA,6
6552,ESCUELA CODIHUE,6
6555,ESCUELA PARTICULAR PILMAIQUENCO,1
6560,ESCUELA PARTICULAR EL AMANECER,2
6562,ESCUELA PARTICULAR LA ALBORADA,9
6564,ESCUELA PARTIC.JOSE MIGUEL CARRERA,8
6566,ESCUELA PARTICULAR JAVIERA CARRERA,15
6569,ESCUELA PARTICULAR LUIS CRUZ MARTINEZ,8
6572,ESCUELA PARTICULAR RAMON FREIRE,8
6575,ESCUELA PARTICULAR ALONSO DE ERCILLA,6
6576,ESCUELA PARTICULAR CLAUDIO MATTE,3
6577,COLEGIO DREAM HOUSE,15
6583,ESCUELA PARTICULAR RUCATRARO,6
6584,LICEO INDUSTRIAL C-16 NUEVA IMPERIAL,15
